Unnamed: 0,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,sale,month_name,City,Hour,grouped
20,248171,USB-C Charging Cable,1,11.95,2019-09-05 15:06:00,"705 Hill St, New York City, NY 10001",11.95,September, New York City,15,"USB-C Charging Cable,USB-C Charging Cable"
60,248210,iPhone,1,700.0,2019-09-27 10:33:00,"292 Washington St, San Francisco, CA 94016",700.0,September, San Francisco,10,"iPhone,Lightning Charging Cable"
70,248219,Bose SoundSport Headphones,1,99.99,2019-09-24 12:48:00,"665 Maple St, Los Angeles, CA 90001",99.99,September, Los Angeles,12,"Bose SoundSport Headphones,Google Phone"
117,248265,Vareebadd Phone,1,400.0,2019-09-24 14:07:00,"939 14th St, San Francisco, CA 94016",400.0,September, San Francisco,14,"Vareebadd Phone,Bose SoundSport Headphones"
176,248323,Google Phone,1,600.0,2019-09-30 20:36:00,"725 10th St, Portland, OR 97035",600.0,September, Portland,20,"Google Phone,Bose SoundSport Headphones"
183,248329,Vareebadd Phone,1,400.0,2019-09-02 15:56:00,"472 11th St, Austin, TX 73301",400.0,September, Austin,15,"Vareebadd Phone,Wired Headphones"
186,248331,iPhone,1,700.0,2019-09-02 17:38:00,"642 2nd St, San Francisco, CA 94016",700.0,September, San Francisco,17,"iPhone,Lightning Charging Cable,Apple Airpods Headphones"
238,248381,Bose SoundSport Headphones,1,99.99,2019-09-29 14:51:00,"511 Chestnut St, San Francisco, CA 94016",99.99,September, San Francisco,14,"Bose SoundSport Headphones,34in Ultrawide Monitor"
265,248407,iPhone,1,700.0,2019-09-22 15:10:00,"18 Park St, Seattle, WA 98101",700.0,September, Seattle,15,"iPhone,Lightning Charging Cable,Apple Airpods Headphones"
290,248430,Apple Airpods Headphones,1,150.0,2019-09-01 22:28:00,"473 Church St, New York City, NY 10001",150.0,September, New York City,22,"Apple Airpods Headphones,Lightning Charging Cable"
392,248531,Google Phone,1,600.0,2019-09-10 23:46:00,"544 5th St, Dallas, TX 75001",600.0,September, Dallas,23,"Google Phone,Bose SoundSport Headphones"
454,248592,27in 4K Gaming Monitor,1,389.99,2019-09-23 08:58:00,"553 8th St, Boston, MA 02215",389.99,September, Boston,8,"27in 4K Gaming Monitor,AA Batteries (4-pack)"
